zaman              , kisi_id, ihlal_turu, sure_sn, ear_degeri         , frame_yolu
2026-03-06 17:46:19,     498, hareketsiz,    2.02, 0.27968793592605257, kayitlar\2026-03-06\ihlal_498_17-46-19.jpg
2026-03-06 17:46:25,     498, hareketsiz,    2.02, 0.2981190083456099 , kayitlar\2026-03-06\ihlal_498_17-46-25.jpg
2026-03-06 17:50:10,       0, hareketsiz,    2.02, 0.295              , kayitlar\2026-03-06\ihlal_0_17-50-10.jpg
2026-03-07 01:42:15,0,hareketsiz,2.01,0.286,kayitlar\2026-03-07\ihlal_0_01-42-15.jpg
2026-03-07 01:42:25,0,hareketsiz,2.01,0.242,kayitlar\2026-03-07\ihlal_0_01-42-26.jpg
2026-03-07 01:42:34,0,hareketsiz,2.02,0.250,kayitlar\2026-03-07\ihlal_0_01-42-34.jpg
2026-03-07 01:42:43,0,hareketsiz,2.01,0.259,kayitlar\2026-03-07\ihlal_0_01-42-43.jpg
2026-03-07 01:42:47,0,goz_kapali,2.03,0.048,
2026-03-07 01:42:47,0,goz_kapali,2.03,0.048,kayitlar\2026-03-07\ihlal_0_01-42-47.jpg
2026-03-07 01:42:52,0,hareketsiz,2.01,0.247,kayitlar\2026-03-07\ihlal_0_01-42-52.jpg
2026-03-07 02:08:19,0,hareketsiz,2.00,0.249,kayitlar\2026-03-07\ihlal_0_02-08-19.jpg
2026-03-07 02:08:56,0,hareketsiz,2.03,0.268,kayitlar\2026-03-07\ihlal_0_02-08-56.jpg
2026-03-07 02:09:06,0,hareketsiz,2.04,0.228,kayitlar\2026-03-07\ihlal_0_02-09-06.jpg
2026-03-07 02:09:17,0,hareketsiz,2.02,0.267,kayitlar\2026-03-07\ihlal_0_02-09-17.jpg
2026-03-07 02:29:47,0,hareketsiz,2.03,0.266,kayitlar\2026-03-07\ihlal_0_02-29-47.jpg
2026-03-07 02:29:55,0,kritik_hareketsiz,10.03,0.296,kayitlar\arsiv\ihlal_0_02-29-55.jpg
2026-03-07 02:30:14,2,hareketsiz,2.01,0.304,kayitlar\2026-03-07\ihlal_2_02-30-14.jpg
